"season","aname","title","link","slot","day","startTime","endTime","station","episodes","episodesRev","percentage","date","ave","actor","producer","chiefProducer","director","script","original","themeSong","sungInDrama","inDramaSong","endingMusic","openingMusic","themeMusic","imageMusic","titleMusic","synopsis","MATCHED","TYPE","DISTANCE"
"0301","itsumo","いつもふたりで","http://www.fujitv.co.jp/itsumo/","月曜21：00〜21：54　（全11回）　","Mon","21:00","21:54","フジテレビ","11","11","18.20,16.40,15.30,17.30,16.00,15.10,14.80,15.30,15.30,16.10,18.10","1/6,1/13,1/20,1/27,2/3,2/10,2/17,2/24,3/3,3/10,3/17","16.17","松たか子,坂口憲二,柏原崇,長谷川京子,平山綾,瑛太,佐藤仁美,田山涼成,西村雅彦,黒沢年雄","鈴木吉弘","","中江功,小林和宏","相沢友子","","光永亮太,『Always』","","","","","","","","有名小説家になりたいという夢を持つ谷町瑞穂（松たか子）は応募した新人文学賞を受賞し、遂にその夢を実現する日が来た。彼女は家族たちに見送られ故郷を離れ、上京するが現実は厳しかった。支度金を奪われた瑞穂は、今さら故郷に帰れない。東京のつてを頼る瑞穂は、構成作家として働く幼なじみ、森永健太（坂口憲二）のマンションに転がり込む。","いつもふたりで (テレビドラマ)","REVISED","0.000"
"0301","message","メッセージ　〜言葉が、裏切っていく〜","http://www.ytv.co.jp/message/","月曜22：00〜22：54　（全10回→全8回）　","Mon","22:00","22:54","日本テレビ","10","8","6.20,4.60,5.50,4.30,3.90,3.10,4.40,3.20","1/13,1/20,1/27,2/3,2/10,2/17,3/3,3/10","4.40","真中瞳,玉山鉄二,りょう,伊武雅刀,山口もえ,柳沢慎吾","岡本浩一,次屋尚,千葉行利","藤井裕也","国本雅広","森下直","","Fayray,『好きだなんて言えない』","","","","","","","","児童書籍の担当者であった霧海杏子（真中瞳）は、突然暴露雑誌「週刊ラング」の編集部へ左遷された。杏子は、そこの編集長（宇崎竜童）や、一癖のある人々と真実を追求することとなった。アウトローである暴露雑誌編集部が、最終的には正義と真実を追求するプロットとなっており、シビアにそのプロセスが描かれている。当初、編集長が政治家と暴力団の癒着を取り上げようとして殺害されたのを機に、編集部が消滅する結末も考えられていたが、話数の短縮で没案になった。","メッセージ〜言葉が裏切っていく〜","REVISED","0.000"
"0301","okaasan","お義母さんといっしょ","http://www.fujitv.co.jp/okaasan/","火曜21：00〜21：54　（全11回→全10回）　","Tue","21:00","21:54","フジテレビ","11","10","13.80,11.30,9.90,8.30,7.60,10.00,8.90,8.50,9.60,10.60","1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/4,3/11","9.85","水野美紀,トータス松本,海東健,小栗旬,宮本真希,田口浩正,久我陽子,小池徹平,上野樹里,高橋ひとみ,冨士眞奈美,宇津井健,水前寺清子","杉尾敦弘,小泉守,中津留誠","","田島大輔,高丸雅隆","金子ありさ,田中江里夏","","Every Little Thing,『nostalgia』","","","","","","","","NO_SYNOPSIS","お義母さんといっしょ","ORIGINAL","0.000"
"0301","bokuiki","僕の生きる道","http://www.ktv.co.jp/good-die/","火曜22：00〜22：54　（全11回）　","Tue","22:00","22:54","フジテレビ","11","11","15.40,14.80,13.50,12.00,13.10,15.90,14.10,15.60,16.40,17.70,21.60","1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/4,3/11,3/18","15.46","草磲剛,矢田亜希子,谷原章介,浅野和之,鳥羽潤,菊池均也,内博貴,市原隼人,藤間宇宙,綾瀬はるか,浅見れいな,上野なつひ,鈴木葉月,岩崎杏里,森下愛子,小日向文世,大杉漣","重松圭一,岩田祐二","石原隆","星護,佐藤祐市,三宅喜重","橋部敦子","","SMAP,『世界に一つだけの花』","","","","","","","","私立進学高校「陽輪学園」の男性教員である中村秀雄はある日健康診断で再検査となり、スキルス性胃癌で余命1年と宣告される。最初は自暴自棄になり、自殺未遂まで起こす秀雄だった。しかし、金田医師との触れ合いから残りの人生を精一杯生きようと決意する。そんな秀雄の変化につれ、1度は秀雄の告白を受け入れなかった同僚のみどりも次第に秀雄に惹かれていき、やがて恋人同士となる。幸せな日々もつかの間、秀雄の病と余命を知ったみどり。秀雄は別れを切り出すが、みどりの献身的な姿勢や金田との対話から、残された人生をみどりと過ごすために結婚を決意する。学園理事長であるみどりの父を説得できぬまま、幼少時代に通った教会で2人だけの結婚式を挙げていると、そこにみどりの父が現れる。そして、秀雄は自分の夢であった合唱（曲目はハインリッヒ・ヴェルナーの野ばら）を受験勉強で汲々とした生徒に提案する。歌手志望の杉田以外、ほとんど無関心を装っていた生徒たちも次第に心を開き始め、コンクールに向けて練習を重ね2次予選まで進んだ。ところが指揮を振り切った秀雄はステージ上で倒れ、そのまま入院し、決勝の指揮は吉田均にゆだねる。決勝の日、金田医師は外出許可を与えなかったが秀雄は病院を抜け出し、みどりに付き添われながら決勝の客席に臨んだ。コンクール終了後も客席に残っていた秀雄の前に生徒たちが現れ、「仰げば尊し」を歌う。秀雄はその歌を聴きながら眠るように動かなくなっていた。","僕の生きる道","ORIGINAL","0.000"
"0301","cha-han","熱烈的中華飯店","http://www.fujitv.co.jp/cha-han/","水曜21：00〜21：54　（全11回→全10回）　","Wed","21:00","21:54","フジテレビ","11","10","12.10,9.80,9.50,9.10,7.80,7.50,7.50,7.50,9.20,8.60","1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/5,3/12","8.86","鈴木京香,椎名桔平,二宮和也,勝村政信,東幹久,高橋克実,石黒賢,瀬戸朝香,伊東四朗","牧野正,瀧山麻土香","","鈴木雅之,木村達昭,成田岳","林宏司","","Sowelu,『Rainbow』","","","","","","","","香港発、日本行の豪華客船「スターレオ号」の中華料理店「平平樓」を舞台に、偶然集まった幹部候補・橘詩央や万年皿洗いの料理人・迫田誠二、二等航海士の大山海二郎、料理人見習いの名波健太ら素人7人がひょんな事から料理を振る舞う事になり、様々な困難を乗り越えて奮闘していく姿を描いたグルメテレビドラマ。","熱烈的中華飯店","ORIGINAL","0.000"
"0301","1ro","刑事★イチロー","http://www.tbs.co.jp/1ro/","水曜22：00〜22：54　（全10回→全9回）　","Wed","22:00","22:54","TBS","10","9","7.20,6.00,5.60,4.20,4.90,5.30,4.30,4.40,4.90","1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/5,3/12","5.20","加藤晴彦,菊川怜,保坂尚輝,細川茂樹,温水洋一,笹野高史,とよた真帆,野際陽子,津川雅彦","森田光則,倉貫健二郎","","森田光則,富田勝則,根本実樹,高野栄治","黒土三男","","GLAY,『いつか』","","","","","","","","歯科医師一家殺人事件を通して、主人公の一郎（加藤晴彦）が警視庁の路（菊川怜）、別府刑事（津川雅彦）と共に成長していく刑事ドラマ。","刑事☆イチロー","REVISED","0.000"
"0301","saigo","最後の弁護人","http://www.ntv.co.jp/saigo/","水曜22：00〜22：54　（全10回）　","Wed","22:00","22:54","日本テレビ","10","10","13.60,11.90,11.60,9.60,12.20,8.90,11.00,12.30,13.00,11.90","1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/5,3/12,3/19","11.60","阿部寛,須藤理彩,今井翼,松重豊,梅宮万紗子,加藤厚生,金田明夫,浅野ゆう子","伊藤響,大塚泰之","","岩本仁志,佐久間紀佳","秦建日子","","hiro,『Baby don't cry』","","","","","","","","不良債権の取立てを行う銀行員の石田良子は、事務所開設資金を返済していない有働弁護士事務所の有働和明を訪ねる。しかし有働弁護士事務所は依頼人も事務員を雇う余裕さえもなく、さらに有働の義理の姉である日本弁護士会の神崎美智子からは報酬の少ない国選弁護人ばかりを依頼され、財政的にかなり厳しい状態であった。それでも有働は、助手となった良子や自身が弁護した赤倉俊哉らとともに数々の難事件に挑んでいく。","最後の弁護人","ORIGINAL","0.000"
"0301","koiwa","恋は戦い！","http://www.tv-asahi.co.jp/koiwa/","木曜21：00〜21：54　（全10回）　","Thu","21:00","21:54","テレビ朝日","10","10","9.10,8.10,7.50,6.30,6.30,6.10,6.40,6.30,5.50,5.40","1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/27,3/6,3/13","6.70","本上まなみ,坂井真紀,松岡充,宝生舞,ふかわりょう,伊藤高史,滝沢沙織,大浦龍宇一,河原さぶ,市毛良枝,伊原剛志,室井滋","佐々木基,遠野信幸,千野穀彦,小池唯一","","片山修,徳市敏之,田村直己","尾崎将也,相内美生","『恋は戦い！〜どうぶつ恋愛行動学・失敗しないオス選び〜』","ABBA,『ダンシング・クイーン』","","","","","","","","NO_SYNOPSIS","恋は戦い!","REVISED","0.000"
"0301","t-otoko","年下の男","http://www.tbs.co.jp/t-otoko/","木曜22：00〜22：54　（全11回）　","Thu","22:00","22:54","TBS","11","11","11.80,10.70,12.20,11.80,12.60,12.60,13.70,13.50,14.10,14.20,13.30","1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/27,3/6,3/13,3/20","12.77","稲森いずみ,高橋克典,風吹ジュン,賀集利樹,麻生祐未,星野真里,山崎裕太,平田満,高橋昌也","矢口久雄","","佐々木章光,藤尾隆","内館牧子","","SINBA,『華』","","","","","","","","平凡な毎日を送る30歳のOLの'''山口千華子（稲森）'''は、温かい家族に恵まれてはいるものの、仕事にやりがいを感じておらず、恋人もおらず、結婚の予定もない自分の生活に淋しさと虚しさを感じている。そんなある日、彼女は行きつけのスポーツジムで大人の雰囲気を醸し出す伊崎駿に出逢い、恋い焦がれる。しかし、思い切ってアタックしたところ、「女は必要ない」と振られてしまいショックを受ける。そんな千華子に、彼女の弟・卓の大学の友人である謙吾が近づいてくる。初めは千華子に格別好意を持っているわけではなく、年上の女をおとしてみたいという遊び半分の賭けでしかなかった謙吾だが、次第に本気で彼女に惹かれていく。また千華子も優しく情熱的な謙吾を愛するようになる。しかしつき合いが深まるにしたがい、8歳の年の差は互いに遠慮と物足りなさを生む。一方、千華子を振った伊崎駿は、いきつけの弁当屋で出逢った女性をひょんなことから食事に誘う。その女性は、千華子の母・花枝だった。そして、花枝と駿は許されない関係に堕ちる。母が自分を振った相手との不倫に苦しんでいるとは知らず、また恋人が自分の娘の恋した相手とは知らず、母と娘は同じ1人の男をめぐってそれぞれに苦悩する…。","年下の男","ORIGINAL","0.000"
"0301","bb","美女か野獣","http://www.fujitv.co.jp/bb/","木曜22：00〜22：54　（全11回）　","Thu","22:00","22:54","フジテレビ","11","11","20.00,17.30,18.60,18.60,17.30,17.50,17.00,19.00,19.40,18.90,19.40","1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/27,3/6,3/13,3/20","18.45","松嶋菜々子,福山雅治,渡辺いっけい,八嶋智人,佐々木蔵之介,白石美帆,永井大,パパイヤ鈴木,深浦加奈子,児玉清","長部聡介,現王園佳正,井口喜一","","西谷弘","吉田智子","","東京スカパラダイスオーケストラ,『銀河と迷路』","","","","","","","","鷹宮真（松嶋菜々子）はアメリカ3大ネットワークのニュース記者として活躍していたが、日本のテレビ局のJBCテレビからヘッドハンティングされ、視聴率が低迷するニュース番組のチーフプロデューサーとなる。一方、同じ頃JBCテレビ入社以来バラエティ番組製作部に携わっていた永瀬洋海（福山雅治）は、数々悪評をたてながらも番組の成功に守られて好き勝手に振る舞っていた事から、上司の指示で報道局に転属された。視聴率至上主義者の真と、番組は人生を楽しむ為の道具とうそぶく洋海。性格も番組に対する考えも正反対の2人だが、学生時代は恋人同士だった。そんな因縁もあって対立し合いながらも次第に関係を修復し、さらに理解を深めていく物語である。","美女か野獣","ORIGINAL","0.000"
"0301","koukou","高校教師","http://www.tbs.co.jp/koukou/","金曜22：00〜22：54　（全11回）　","Fri","22:00","22:54","TBS","11","11","14.90,12.20,6.40,10.70,10.60,8.80,10.20,13.50,11.20,8.80,11.00","1/10,1/17,1/24,1/31,2/7,2/14,2/21,2/28,3/7,3/14,3/21","10.75","藤木直人,上戸彩,ソニン,成宮寛貴,眞鍋かをり,大倉孝二,蒼井優,京本政樹,眞野あずさ","伊藤一尋","","鴨下信一,吉田健,今井夏木","野島伸司","","森田童子,『ぼくたちの失敗』","","","","","","","","NO_SYNOPSIS","高校教師 (1993年のテレビドラマ)","REVISED","0.000"
